# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	min(T)
234.331886    	1.145381e+03
235.331886    	1.146106e+03
236.331886    	1.146824e+03
237.331886    	1.147535e+03
238.331886    	1.148239e+03
239.331886    	1.148936e+03
240.331886    	1.149626e+03
241.331886    	1.150309e+03
242.331886    	1.150986e+03
243.331886    	1.151656e+03
244.331886    	1.152319e+03
245.331886    	1.152976e+03
246.331886    	1.153627e+03
247.331886    	1.154271e+03
248.331886    	1.154909e+03
249.331886    	1.155541e+03
250.331886    	1.156167e+03
251.331886    	1.156786e+03
252.331886    	1.157400e+03
253.331886    	1.158008e+03
254.331886    	1.158609e+03
255.331886    	1.159205e+03
256.331886    	1.159795e+03
257.331886    	1.160380e+03
258.331886    	1.160959e+03
259.331886    	1.161532e+03
260.331886    	1.162100e+03
261.331886    	1.162662e+03
262.331886    	1.163219e+03
263.331886    	1.163770e+03
264.331886    	1.164316e+03
265.331886    	1.164857e+03
266.331886    	1.165393e+03
267.331886    	1.165924e+03
268.331886    	1.166449e+03
269.331886    	1.166970e+03
270.331886    	1.167485e+03
271.331886    	1.167996e+03
272.331886    	1.168502e+03
273.331886    	1.169002e+03
274.331886    	1.169499e+03
275.331886    	1.169990e+03
276.331886    	1.170477e+03
277.331886    	1.170959e+03
278.331886    	1.171436e+03
279.331886    	1.171909e+03
280.331886    	1.172378e+03
281.331886    	1.172842e+03
282.331886    	1.173301e+03
283.331886    	1.173757e+03
284.331886    	1.174207e+03
285.331886    	1.174654e+03
286.331886    	1.175097e+03
287.331886    	1.175535e+03
288.331886    	1.175969e+03
289.331886    	1.176399e+03
290.331886    	1.176825e+03
291.331886    	1.177247e+03
292.331886    	1.177665e+03
293.331886    	1.178079e+03
294.331886    	1.178489e+03
295.331886    	1.178895e+03
296.331886    	1.179298e+03
297.331886    	1.179696e+03
298.331886    	1.180091e+03
299.331886    	1.180482e+03
300.331886    	1.180870e+03
301.331886    	1.181254e+03
302.331886    	1.181634e+03
303.331886    	1.182011e+03
304.331886    	1.182384e+03
305.331886    	1.182754e+03
306.331886    	1.183120e+03
307.331886    	1.183483e+03
308.331886    	1.183842e+03
309.331886    	1.184198e+03
310.331886    	1.184551e+03
311.331886    	1.184901e+03
312.331886    	1.185247e+03
313.331886    	1.185590e+03
314.331886    	1.185930e+03
315.331886    	1.186266e+03
316.331886    	1.186600e+03
317.331886    	1.186930e+03
318.331886    	1.187257e+03
319.331886    	1.187582e+03
320.331886    	1.187903e+03
321.331886    	1.188221e+03
322.331886    	1.188536e+03
323.331886    	1.188849e+03
324.331886    	1.189158e+03
325.331886    	1.189465e+03
326.331886    	1.189769e+03
327.331886    	1.190070e+03
328.331886    	1.190368e+03
329.331886    	1.190663e+03
330.331886    	1.190956e+03
331.331886    	1.191246e+03
332.331886    	1.191533e+03
333.331886    	1.191818e+03
334.331886    	1.192100e+03
335.331886    	1.192379e+03
336.331886    	1.192656e+03
337.331886    	1.192930e+03
338.331886    	1.193202e+03
339.331886    	1.193471e+03
340.331886    	1.193738e+03
341.331886    	1.194002e+03
342.331886    	1.194264e+03
343.331886    	1.194523e+03
344.331886    	1.194780e+03
345.331886    	1.195035e+03
346.331886    	1.195287e+03
347.331886    	1.195538e+03
348.331886    	1.195785e+03
349.331886    	1.196031e+03
350.331886    	1.196274e+03
351.331886    	1.196515e+03
352.331886    	1.196754e+03
353.331886    	1.196990e+03
354.331886    	1.197225e+03
355.331886    	1.197457e+03
356.331886    	1.197687e+03
357.331886    	1.197915e+03
358.331886    	1.198141e+03
359.331886    	1.198365e+03
360.331886    	1.197087e+03
361.331886    	1.195686e+03
362.331886    	1.194841e+03
363.331886    	1.193416e+03
364.331886    	1.192047e+03
365.331886    	1.190733e+03
366.331886    	1.189470e+03
367.331886    	1.188254e+03
368.331886    	1.186705e+03
369.331886    	1.185123e+03
370.331886    	1.183579e+03
371.331886    	1.182052e+03
372.331886    	1.180532e+03
373.331886    	1.179044e+03
374.331886    	1.177586e+03
375.331886    	1.176158e+03
376.331886    	1.174757e+03
377.331886    	1.173382e+03
378.331886    	1.172033e+03
379.331886    	1.170708e+03
380.331886    	1.169406e+03
381.331886    	1.168127e+03
382.331886    	1.166868e+03
383.331886    	1.165629e+03
384.331886    	1.164410e+03
385.331886    	1.163208e+03
386.331886    	1.162024e+03
387.331886    	1.160856e+03
388.331886    	1.159704e+03
389.331886    	1.149617e+03
390.331886    	1.102895e+03
391.331886    	1.057028e+03
392.331886    	1.014961e+03
393.331886    	9.768326e+02
394.331886    	9.413453e+02
395.331886    	9.082232e+02
396.331886    	8.773610e+02
397.331886    	8.486918e+02
398.331886    	8.221350e+02
399.331886    	7.975417e+02
400.331886    	7.747852e+02
401.331886    	7.537283e+02
402.331886    	7.342341e+02
403.331886    	7.161673e+02
404.331886    	6.993968e+02
405.331886    	6.837979e+02
406.331886    	6.692714e+02
407.331886    	6.557293e+02
408.331886    	6.430680e+02
409.331886    	6.311909e+02
410.331886    	6.200128e+02
411.331886    	6.094582e+02
412.331886    	5.994592e+02
413.331886    	5.899558e+02
414.331886    	5.808958e+02
415.331886    	5.722331e+02
416.331886    	5.639276e+02
417.331886    	5.559450e+02
418.331886    	5.482552e+02
419.331886    	5.408324e+02
420.331886    	5.336544e+02
421.331886    	5.267022e+02
422.331886    	5.199598e+02
423.331886    	5.134134e+02
424.331886    	5.070515e+02
425.331886    	5.008644e+02
426.331886    	4.948438e+02
427.331886    	4.889827e+02
428.331886    	4.832751e+02
429.331886    	4.777156e+02
430.331886    	4.722997e+02
431.331886    	4.670239e+02
432.331886    	4.618847e+02
433.331886    	4.568786e+02
434.331886    	4.520028e+02
435.331886    	4.472549e+02
436.331886    	4.426314e+02
437.331886    	4.381300e+02
438.331886    	4.337483e+02
439.331886    	4.294834e+02
440.331886    	4.253321e+02
441.331886    	4.212928e+02
442.331886    	4.173633e+02
443.331886    	4.135417e+02
444.331886    	4.098259e+02
445.331886    	4.062144e+02
446.331886    	4.027050e+02
447.331886    	3.992955e+02
448.331886    	3.959839e+02
449.331886    	3.927682e+02
450.331886    	3.896462e+02
451.331886    	3.866161e+02
452.331886    	3.836758e+02
453.331886    	3.808233e+02
454.331886    	3.780569e+02
455.331886    	3.753744e+02
456.331886    	3.727742e+02
457.331886    	3.702541e+02
458.331886    	3.678124e+02
459.331886    	3.654471e+02
460.331886    	3.631564e+02
461.331886    	3.609382e+02
462.331886    	3.587908e+02
463.331886    	3.567121e+02
464.331886    	3.547004e+02
465.331886    	3.527539e+02
466.331886    	3.508706e+02
467.331886    	3.490489e+02
468.331886    	3.472868e+02
469.331886    	3.455828e+02
470.331886    	3.439351e+02
471.331886    	3.423420e+02
472.331886    	3.408019e+02
473.331886    	3.393132e+02
474.331886    	3.378744e+02
475.331886    	3.364838e+02
476.331886    	3.351401e+02
477.331886    	3.338418e+02
478.331886    	3.325874e+02
479.331886    	3.313755e+02
480.331886    	3.302049e+02
481.331886    	3.290742e+02
482.331886    	3.279821e+02
483.331886    	3.269273e+02
484.331886    	3.259088e+02
485.331886    	3.249253e+02
486.331886    	3.239756e+02
487.331886    	3.230586e+02
488.331886    	3.221734e+02
489.331886    	3.213188e+02
490.331886    	3.204937e+02
491.331886    	3.196974e+02
492.331886    	3.189287e+02
493.331886    	3.181867e+02
494.331886    	3.174706e+02
495.331886    	3.167795e+02
496.331886    	3.161126e+02
497.331886    	3.154690e+02
498.331886    	3.148479e+02
499.331886    	3.142486e+02
500.331886    	3.136703e+02
501.331886    	3.131123e+02
502.331886    	3.125740e+02
503.331886    	3.120546e+02
504.331886    	3.115535e+02
505.331886    	3.110700e+02
506.331886    	3.106037e+02
507.331886    	3.101537e+02
508.331886    	3.097197e+02
509.331886    	3.093011e+02
510.331886    	3.088972e+02
511.331886    	3.085077e+02
512.331886    	3.081320e+02
513.331886    	3.077696e+02
514.331886    	3.074200e+02
515.331886    	3.070829e+02
516.331886    	3.067577e+02
517.331886    	3.064441e+02
518.331886    	3.061417e+02
519.331886    	3.058500e+02
520.331886    	3.055687e+02
521.331886    	3.052974e+02
522.331886    	3.050358e+02
523.331886    	3.047835e+02
524.331886    	3.045402e+02
525.331886    	3.043056e+02
526.331886    	3.040793e+02
527.331886    	3.038612e+02
528.331886    	3.036508e+02
529.331886    	3.034479e+02
530.331886    	3.032523e+02
531.331886    	3.030637e+02
532.331886    	3.028818e+02
533.331886    	3.027065e+02
534.331886    	3.025374e+02
535.331886    	3.023744e+02
536.331886    	3.022172e+02
537.331886    	3.020656e+02
538.331886    	3.019195e+02
