# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	min(T)
330.331886    	1.190706e+03
331.331886    	1.191036e+03
332.331886    	1.191362e+03
333.331886    	1.191686e+03
334.331886    	1.192005e+03
335.331886    	1.192322e+03
336.331886    	1.192636e+03
337.331886    	1.192946e+03
338.331886    	1.193253e+03
339.331886    	1.193557e+03
340.331886    	1.193858e+03
341.331886    	1.194155e+03
342.331886    	1.194450e+03
343.331886    	1.194742e+03
344.331886    	1.195031e+03
345.331886    	1.195316e+03
346.331886    	1.195599e+03
347.331886    	1.195879e+03
348.331886    	1.196156e+03
349.331886    	1.196431e+03
350.331886    	1.196702e+03
351.331886    	1.196971e+03
352.331886    	1.197237e+03
353.331886    	1.197500e+03
354.331886    	1.197761e+03
355.331886    	1.198018e+03
356.331886    	1.198274e+03
357.331886    	1.198526e+03
358.331886    	1.198776e+03
359.331886    	1.199024e+03
360.331886    	1.197691e+03
361.331886    	1.195921e+03
362.331886    	1.194432e+03
363.331886    	1.193002e+03
364.331886    	1.191651e+03
365.331886    	1.189926e+03
366.331886    	1.188206e+03
367.331886    	1.186504e+03
368.331886    	1.184855e+03
369.331886    	1.183260e+03
370.331886    	1.181714e+03
371.331886    	1.180215e+03
372.331886    	1.178758e+03
373.331886    	1.177341e+03
374.331886    	1.175961e+03
375.331886    	1.174615e+03
376.331886    	1.173300e+03
377.331886    	1.172014e+03
378.331886    	1.170755e+03
379.331886    	1.169521e+03
380.331886    	1.168310e+03
381.331886    	1.167120e+03
382.331886    	1.165950e+03
383.331886    	1.164799e+03
384.331886    	1.163665e+03
385.331886    	1.162546e+03
386.331886    	1.161443e+03
387.331886    	1.160353e+03
388.331886    	1.159277e+03
389.331886    	1.110337e+03
390.331886    	9.095262e+02
391.331886    	7.584316e+02
392.331886    	6.497884e+02
393.331886    	5.698353e+02
394.331886    	5.101989e+02
395.331886    	4.653609e+02
396.331886    	4.313705e+02
397.331886    	4.053854e+02
398.331886    	3.853598e+02
399.331886    	3.697866e+02
400.331886    	3.575589e+02
401.331886    	3.478610e+02
402.331886    	3.400900e+02
403.331886    	3.337983e+02
404.331886    	3.286521e+02
405.331886    	3.244013e+02
406.331886    	3.208573e+02
407.331886    	3.178770e+02
408.331886    	3.153510e+02
409.331886    	3.131948e+02
410.331886    	3.113427e+02
411.331886    	3.097431e+02
412.331886    	3.083549e+02
413.331886    	3.071453e+02
414.331886    	3.060877e+02
415.331886    	3.051602e+02
416.331886    	3.043448e+02
417.331886    	3.036265e+02
418.331886    	3.029925e+02
419.331886    	3.024323e+02
420.331886    	3.019366e+02
421.331886    	3.014976e+02
422.331886    	3.011084e+02
423.331886    	3.007632e+02
424.331886    	3.004568e+02
425.331886    	3.001848e+02
426.331886    	2.999431e+02
427.331886    	2.997284e+02
428.331886    	2.995375e+02
429.331886    	2.993678e+02
430.331886    	2.992169e+02
431.331886    	2.990828e+02
432.331886    	2.989634e+02
433.331886    	2.988573e+02
434.331886    	2.987628e+02
435.331886    	2.986788e+02
436.331886    	2.986041e+02
437.331886    	2.985376e+02
438.331886    	2.984784e+02
439.331886    	2.984257e+02
440.331886    	2.983789e+02
441.331886    	2.983372e+02
442.331886    	2.983001e+02
443.331886    	2.982671e+02
444.331886    	2.982377e+02
445.331886    	2.982115e+02
446.331886    	2.981882e+02
447.331886    	2.981675e+02
448.331886    	2.981491e+02
449.331886    	2.981327e+02
450.331886    	2.981181e+02
451.331886    	2.981051e+02
452.331886    	2.980935e+02
453.331886    	2.980833e+02
454.331886    	2.980741e+02
455.331886    	2.980659e+02
456.331886    	2.980587e+02
457.331886    	2.980522e+02
458.331886    	2.980465e+02
459.331886    	2.980414e+02
460.331886    	2.980368e+02
461.331886    	2.980328e+02
462.331886    	2.980292e+02
463.331886    	2.980260e+02
464.331886    	2.980231e+02
465.331886    	2.980206e+02
466.331886    	2.980183e+02
467.331886    	2.980163e+02
468.331886    	2.980145e+02
469.331886    	2.980129e+02
470.331886    	2.980115e+02
471.331886    	2.980102e+02
472.331886    	2.980091e+02
473.331886    	2.980081e+02
474.331886    	2.980072e+02
475.331886    	2.980064e+02
476.331886    	2.980057e+02
477.331886    	2.980051e+02
478.331886    	2.980045e+02
479.331886    	2.980040e+02
480.331886    	2.980036e+02
481.331886    	2.980032e+02
482.331886    	2.980028e+02
483.331886    	2.980025e+02
484.331886    	2.980022e+02
485.331886    	2.980020e+02
486.331886    	2.980018e+02
487.331886    	2.980016e+02
488.331886    	2.980014e+02
489.331886    	2.980013e+02
490.331886    	2.980011e+02
491.331886    	2.980010e+02
492.331886    	2.980009e+02
493.331886    	2.980008e+02
494.331886    	2.980007e+02
495.331886    	2.980006e+02
496.331886    	2.980006e+02
497.331886    	2.980005e+02
498.331886    	2.980004e+02
499.331886    	2.980004e+02
500.331886    	2.980003e+02
501.331886    	2.980003e+02
502.331886    	2.980003e+02
503.331886    	2.980002e+02
504.331886    	2.980002e+02
505.331886    	2.980002e+02
506.331886    	2.980002e+02
507.331886    	2.980002e+02
508.331886    	2.980001e+02
509.331886    	2.980001e+02
510.331886    	2.980001e+02
511.331886    	2.980001e+02
512.331886    	2.980001e+02
513.331886    	2.980001e+02
514.331886    	2.980001e+02
515.331886    	2.980001e+02
516.331886    	2.980001e+02
517.331886    	2.980000e+02
518.331886    	2.980000e+02
519.331886    	2.980000e+02
520.331886    	2.980000e+02
521.331886    	2.980000e+02
522.331886    	2.980000e+02
523.331886    	2.980000e+02
524.331886    	2.980000e+02
525.331886    	2.980000e+02
526.331886    	2.980000e+02
527.331886    	2.980000e+02
528.331886    	2.980000e+02
529.331886    	2.980000e+02
530.331886    	2.980000e+02
531.331886    	2.980000e+02
532.331886    	2.980000e+02
533.331886    	2.980000e+02
534.331886    	2.980000e+02
535.331886    	2.980000e+02
536.331886    	2.980000e+02
537.331886    	2.980000e+02
538.331886    	2.980000e+02
539.331886    	2.980000e+02
540.331886    	2.980000e+02
541.331886    	2.980000e+02
542.331886    	2.980000e+02
543.331886    	2.980000e+02
544.331886    	2.980000e+02
545.331886    	2.980000e+02
546.331886    	2.980000e+02
547.331886    	2.980000e+02
548.331886    	2.980000e+02
549.331886    	2.980000e+02
550.331886    	2.980000e+02
551.331886    	2.980000e+02
552.331886    	2.980000e+02
553.331886    	2.980000e+02
554.331886    	2.980000e+02
555.331886    	2.980000e+02
556.331886    	2.980000e+02
557.331886    	2.980000e+02
558.331886    	2.980000e+02
559.331886    	2.980000e+02
560.331886    	2.980000e+02
561.331886    	2.980000e+02
562.331886    	2.980000e+02
563.331886    	2.980000e+02
564.331886    	2.980000e+02
565.331886    	2.980000e+02
566.331886    	2.980000e+02
567.331886    	2.980000e+02
568.331886    	2.980000e+02
569.331886    	2.980000e+02
570.331886    	2.980000e+02
571.331886    	2.980000e+02
572.331886    	2.980000e+02
573.331886    	2.980000e+02
574.331886    	2.980000e+02
575.331886    	2.980000e+02
576.331886    	2.980000e+02
577.331886    	2.980000e+02
578.331886    	2.980000e+02
579.331886    	2.980000e+02
580.331886    	2.980000e+02
581.331886    	2.980000e+02
582.331886    	2.980000e+02
583.331886    	2.980000e+02
584.331886    	2.980000e+02
585.331886    	2.980000e+02
586.331886    	2.980000e+02
587.331886    	2.980000e+02
588.331886    	2.980000e+02
589.331886    	2.980000e+02
590.331886    	2.980000e+02
591.331886    	2.980000e+02
592.331886    	2.980000e+02
593.331886    	2.980000e+02
594.331886    	2.980000e+02
595.331886    	2.980000e+02
596.331886    	2.980000e+02
597.331886    	2.980000e+02
598.331886    	2.980000e+02
599.331886    	2.980000e+02
