# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	max(T)
310.331886    	1.194603e+03
311.331886    	1.194860e+03
312.331886    	1.195115e+03
313.331886    	1.195368e+03
314.331886    	1.195618e+03
315.331886    	1.195866e+03
316.331886    	1.196111e+03
317.331886    	1.196355e+03
318.331886    	1.196596e+03
319.331886    	1.196835e+03
320.331886    	1.197071e+03
321.331886    	1.197306e+03
322.331886    	1.197538e+03
323.331886    	1.197768e+03
324.331886    	1.197996e+03
325.331886    	1.198222e+03
326.331886    	1.198446e+03
327.331886    	1.198667e+03
328.331886    	1.198887e+03
329.331886    	1.199105e+03
330.331886    	1.199321e+03
331.331886    	1.199534e+03
332.331886    	1.199746e+03
333.331886    	1.199956e+03
334.331886    	1.200164e+03
335.331886    	1.200370e+03
336.331886    	1.200574e+03
337.331886    	1.200776e+03
338.331886    	1.200976e+03
339.331886    	1.201175e+03
340.331886    	1.201371e+03
341.331886    	1.201566e+03
342.331886    	1.201759e+03
343.331886    	1.201950e+03
344.331886    	1.202140e+03
345.331886    	1.202328e+03
346.331886    	1.202514e+03
347.331886    	1.202698e+03
348.331886    	1.202881e+03
349.331886    	1.203062e+03
350.331886    	1.203241e+03
351.331886    	1.203419e+03
352.331886    	1.203595e+03
353.331886    	1.203770e+03
354.331886    	1.203943e+03
355.331886    	1.204114e+03
356.331886    	1.204284e+03
357.331886    	1.204452e+03
358.331886    	1.204619e+03
359.331886    	1.204784e+03
360.331886    	1.202642e+03
361.331886    	1.199804e+03
362.331886    	1.197966e+03
363.331886    	1.197284e+03
364.331886    	1.196726e+03
365.331886    	1.196137e+03
366.331886    	1.195534e+03
367.331886    	1.194917e+03
368.331886    	1.194280e+03
369.331886    	1.193632e+03
370.331886    	1.192969e+03
371.331886    	1.192291e+03
372.331886    	1.191598e+03
373.331886    	1.190892e+03
374.331886    	1.190176e+03
375.331886    	1.189454e+03
376.331886    	1.188724e+03
377.331886    	1.187984e+03
378.331886    	1.187237e+03
379.331886    	1.186482e+03
380.331886    	1.185721e+03
381.331886    	1.184953e+03
382.331886    	1.184181e+03
383.331886    	1.183405e+03
384.331886    	1.182626e+03
385.331886    	1.181843e+03
386.331886    	1.181057e+03
387.331886    	1.180268e+03
388.331886    	1.179475e+03
389.331886    	1.178072e+03
390.331886    	1.172586e+03
391.331886    	1.162776e+03
392.331886    	1.150401e+03
393.331886    	1.136404e+03
394.331886    	1.121335e+03
395.331886    	1.105741e+03
396.331886    	1.089742e+03
397.331886    	1.073308e+03
398.331886    	1.056498e+03
399.331886    	1.039224e+03
400.331886    	1.021160e+03
401.331886    	1.002204e+03
402.331886    	9.833462e+02
403.331886    	9.650294e+02
404.331886    	9.469633e+02
405.331886    	9.290918e+02
406.331886    	9.114145e+02
407.331886    	8.939402e+02
408.331886    	8.766671e+02
409.331886    	8.595612e+02
410.331886    	8.426888e+02
411.331886    	8.260966e+02
412.331886    	8.098128e+02
413.331886    	7.938573e+02
414.331886    	7.782683e+02
415.331886    	7.630711e+02
416.331886    	7.482234e+02
417.331886    	7.337301e+02
418.331886    	7.195943e+02
419.331886    	7.058173e+02
420.331886    	6.924005e+02
421.331886    	6.793548e+02
422.331886    	6.667094e+02
423.331886    	6.544552e+02
424.331886    	6.425824e+02
425.331886    	6.310809e+02
426.331886    	6.199403e+02
427.331886    	6.091507e+02
428.331886    	5.987021e+02
429.331886    	5.885849e+02
430.331886    	5.787895e+02
431.331886    	5.693067e+02
432.331886    	5.601274e+02
433.331886    	5.512428e+02
434.331886    	5.426441e+02
435.331886    	5.343234e+02
436.331886    	5.262717e+02
437.331886    	5.184813e+02
438.331886    	5.109443e+02
439.331886    	5.036533e+02
440.331886    	4.966007e+02
441.331886    	4.897795e+02
442.331886    	4.831825e+02
443.331886    	4.768025e+02
444.331886    	4.706327e+02
445.331886    	4.646668e+02
446.331886    	4.588990e+02
447.331886    	4.533234e+02
448.331886    	4.479340e+02
449.331886    	4.427254e+02
450.331886    	4.376920e+02
451.331886    	4.328290e+02
452.331886    	4.281321e+02
453.331886    	4.235947e+02
454.331886    	4.192114e+02
455.331886    	4.149768e+02
456.331886    	4.108862e+02
457.331886    	4.069348e+02
458.331886    	4.031181e+02
459.331886    	3.994316e+02
460.331886    	3.958712e+02
461.331886    	3.924327e+02
462.331886    	3.891121e+02
463.331886    	3.859056e+02
464.331886    	3.828094e+02
465.331886    	3.798199e+02
466.331886    	3.769336e+02
