# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	max(T)
387.331886    	1.176694e+03
388.331886    	1.175791e+03
389.331886    	1.173913e+03
390.331886    	1.165805e+03
391.331886    	1.152514e+03
392.331886    	1.136754e+03
393.331886    	1.120003e+03
394.331886    	1.102713e+03
395.331886    	1.085056e+03
396.331886    	1.067334e+03
397.331886    	1.049576e+03
398.331886    	1.031902e+03
399.331886    	1.014337e+03
400.331886    	9.969407e+02
401.331886    	9.797579e+02
402.331886    	9.628251e+02
403.331886    	9.461802e+02
404.331886    	9.298359e+02
405.331886    	9.138042e+02
406.331886    	8.980965e+02
407.331886    	8.827204e+02
408.331886    	8.676808e+02
409.331886    	8.529801e+02
410.331886    	8.386188e+02
411.331886    	8.245956e+02
412.331886    	8.109082e+02
413.331886    	7.975531e+02
414.331886    	7.845261e+02
415.331886    	7.718224e+02
416.331886    	7.594366e+02
417.331886    	7.473629e+02
418.331886    	7.355954e+02
419.331886    	7.241279e+02
420.331886    	7.129539e+02
421.331886    	7.020750e+02
422.331886    	6.914855e+02
423.331886    	6.811683e+02
424.331886    	6.711171e+02
425.331886    	6.613257e+02
426.331886    	6.517879e+02
427.331886    	6.424975e+02
428.331886    	6.334486e+02
429.331886    	6.246351e+02
430.331886    	6.160513e+02
431.331886    	6.076914e+02
432.331886    	5.995497e+02
433.331886    	5.916207e+02
434.331886    	5.838991e+02
435.331886    	5.763796e+02
436.331886    	5.690569e+02
437.331886    	5.619260e+02
438.331886    	5.549821e+02
439.331886    	5.482202e+02
440.331886    	5.416357e+02
441.331886    	5.352239e+02
442.331886    	5.289805e+02
443.331886    	5.229010e+02
444.331886    	5.169811e+02
445.331886    	5.112168e+02
446.331886    	5.056039e+02
447.331886    	5.001385e+02
448.331886    	4.948168e+02
449.331886    	4.896350e+02
450.331886    	4.845894e+02
451.331886    	4.796765e+02
452.331886    	4.748928e+02
453.331886    	4.702349e+02
454.331886    	4.656996e+02
455.331886    	4.612836e+02
456.331886    	4.569837e+02
457.331886    	4.527970e+02
458.331886    	4.487205e+02
459.331886    	4.447513e+02
460.331886    	4.408865e+02
461.331886    	4.371235e+02
462.331886    	4.334595e+02
463.331886    	4.298919e+02
464.331886    	4.264183e+02
465.331886    	4.230361e+02
466.331886    	4.197429e+02
467.331886    	4.165365e+02
468.331886    	4.134145e+02
469.331886    	4.103746e+02
470.331886    	4.074149e+02
471.331886    	4.045330e+02
472.331886    	4.017270e+02
473.331886    	3.989950e+02
474.331886    	3.963348e+02
475.331886    	3.937447e+02
476.331886    	3.912229e+02
477.331886    	3.887674e+02
478.331886    	3.863766e+02
479.331886    	3.840488e+02
480.331886    	3.817823e+02
481.331886    	3.795754e+02
482.331886    	3.774267e+02
483.331886    	3.753346e+02
484.331886    	3.732976e+02
485.331886    	3.713142e+02
486.331886    	3.693831e+02
487.331886    	3.675028e+02
488.331886    	3.656720e+02
489.331886    	3.638895e+02
490.331886    	3.621539e+02
491.331886    	3.604641e+02
492.331886    	3.588187e+02
493.331886    	3.572167e+02
494.331886    	3.556569e+02
495.331886    	3.541381e+02
496.331886    	3.526594e+02
497.331886    	3.512196e+02
498.331886    	3.498178e+02
499.331886    	3.484528e+02
500.331886    	3.471238e+02
501.331886    	3.458299e+02
502.331886    	3.445700e+02
503.331886    	3.433433e+02
504.331886    	3.421489e+02
505.331886    	3.409859e+02
506.331886    	3.398536e+02
507.331886    	3.387512e+02
508.331886    	3.376777e+02
509.331886    	3.366326e+02
510.331886    	3.356149e+02
511.331886    	3.346241e+02
512.331886    	3.336594e+02
513.331886    	3.327201e+02
514.331886    	3.318055e+02
515.331886    	3.309150e+02
516.331886    	3.300480e+02
517.331886    	3.292038e+02
518.331886    	3.283819e+02
519.331886    	3.275816e+02
520.331886    	3.268023e+02
521.331886    	3.260437e+02
522.331886    	3.253049e+02
523.331886    	3.245857e+02
524.331886    	3.238854e+02
525.331886    	3.232035e+02
526.331886    	3.225396e+02
527.331886    	3.218932e+02
528.331886    	3.212639e+02
529.331886    	3.206511e+02
530.331886    	3.200544e+02
531.331886    	3.194735e+02
532.331886    	3.189078e+02
533.331886    	3.183571e+02
534.331886    	3.178208e+02
535.331886    	3.172987e+02
536.331886    	3.167904e+02
537.331886    	3.162954e+02
538.331886    	3.158135e+02
539.331886    	3.153442e+02
540.331886    	3.148874e+02
541.331886    	3.144425e+02
542.331886    	3.140094e+02
543.331886    	3.135877e+02
544.331886    	3.131771e+02
545.331886    	3.127773e+02
546.331886    	3.123881e+02
547.331886    	3.120091e+02
548.331886    	3.116400e+02
549.331886    	3.112807e+02
550.331886    	3.109309e+02
551.331886    	3.105903e+02
552.331886    	3.102587e+02
553.331886    	3.099357e+02
554.331886    	3.096213e+02
555.331886    	3.093152e+02
556.331886    	3.090172e+02
557.331886    	3.087269e+02
558.331886    	3.084444e+02
559.331886    	3.081693e+02
560.331886    	3.079014e+02
561.331886    	3.076406e+02
562.331886    	3.073866e+02
563.331886    	3.071394e+02
564.331886    	3.068986e+02
565.331886    	3.066642e+02
566.331886    	3.064360e+02
567.331886    	3.062138e+02
568.331886    	3.059974e+02
569.331886    	3.057868e+02
570.331886    	3.055816e+02
571.331886    	3.053819e+02
572.331886    	3.051875e+02
573.331886    	3.049982e+02
574.331886    	3.048138e+02
575.331886    	3.046343e+02
576.331886    	3.044596e+02
577.331886    	3.042894e+02
578.331886    	3.041237e+02
579.331886    	3.039624e+02
580.331886    	3.038054e+02
581.331886    	3.036525e+02
582.331886    	3.035036e+02
583.331886    	3.033586e+02
584.331886    	3.032174e+02
585.331886    	3.030800e+02
586.331886    	3.029462e+02
587.331886    	3.028159e+02
588.331886    	3.026890e+02
589.331886    	3.025655e+02
590.331886    	3.024453e+02
591.331886    	3.023282e+02
592.331886    	3.022142e+02
593.331886    	3.021032e+02
594.331886    	3.019951e+02
595.331886    	3.018898e+02
596.331886    	3.017874e+02
597.331886    	3.016876e+02
598.331886    	3.015905e+02
599.331886    	3.014959e+02
